date,region,rainfall,rain_intensity,planting_time
1-Aug-15,"Ngestiharjo, Bantul",0,0,BURUK
1-Sep-15,"Ngestiharjo, Bantul",0,0,BURUK
1-Oct-15,"Ngestiharjo, Bantul",0,0,BURUK
1-Nov-15,"Ngestiharjo, Bantul",0,0,BURUK
1-Dec-15,"Ngestiharjo, Bantul",0,0,BURUK
1-Jan-16,"Ngestiharjo, Bantul",198,9,BURUK
1-Feb-16,"Ngestiharjo, Bantul",347,11,BAIK
1-Mar-16,"Ngestiharjo, Bantul",575,20,BAIK
1-Apr-16,"Ngestiharjo, Bantul",136,10,BURUK
1-May-16,"Ngestiharjo, Bantul",171,8,BURUK
1-Jun-16,"Ngestiharjo, Bantul",344,5,BAIK
1-Jul-16,"Ngestiharjo, Bantul",138,8,BURUK
1-Aug-16,"Ngestiharjo, Bantul",157,7,BURUK
1-Sep-16,"Ngestiharjo, Bantul",294,9,BAIK
1-Oct-16,"Ngestiharjo, Bantul",269,11,BAIK
1-Nov-16,"Ngestiharjo, Bantul",0,0,BURUK
1-Dec-16,"Ngestiharjo, Bantul",0,0,BURUK
1-Jan-17,"Ngestiharjo, Bantul",430,15,BAIK
1-Feb-17,"Ngestiharjo, Bantul",451,14,BAIK
1-Mar-17,"Ngestiharjo, Bantul",572,11,BAIK
1-Apr-17,"Ngestiharjo, Bantul",234,6,BURUK
1-May-17,"Ngestiharjo, Bantul",39,2,BURUK
1-Jun-17,"Ngestiharjo, Bantul",20,1,BURUK
1-Jul-17,"Ngestiharjo, Bantul",18,2,BURUK
1-Aug-17,"Ngestiharjo, Bantul",0,0,BURUK
1-Sep-17,"Ngestiharjo, Bantul",41,3,BURUK
1-Oct-17,"Ngestiharjo, Bantul",61,8,BURUK
1-Nov-17,"Ngestiharjo, Bantul",559,15,BAIK
1-Dec-17,"Ngestiharjo, Bantul",349,12,BAIK
1-Jan-18,"Ngestiharjo, Bantul",527,26,BAIK
1-Feb-18,"Ngestiharjo, Bantul",329,21,BAIK
1-Mar-18,"Ngestiharjo, Bantul",235,15,BURUK
1-Apr-18,"Ngestiharjo, Bantul",97,15,BURUK
1-May-18,"Ngestiharjo, Bantul",22,7,BURUK
1-Jun-18,"Ngestiharjo, Bantul",16,1,BURUK
