date,region,rainfall,rain_intensity,planting_time
7/1/2017,"Jambon, Sleman",28,2,BURUK
8/1/2017,"Jambon, Sleman",0,0,BURUK
9/1/2017,"Jambon, Sleman",154,5,BURUK
10/1/2017,"Jambon, Sleman",139,6,BURUK
11/1/2017,"Jambon, Sleman",619,19,BAIK
12/1/2017,"Jambon, Sleman",394,12,BAIK
1/1/2018,"Jambon, Sleman",628,23,BAIK
2/1/2018,"Jambon, Sleman",303,13,BAIK
3/1/2018,"Jambon, Sleman",261,11,BAIK
4/1/2018,"Jambon, Sleman",229,11,BURUK
5/1/2018,"Jambon, Sleman",64,6,BURUK
6/1/2018,"Jambon, Sleman",24,1,BURUK
7/1/2018,"Jambon, Sleman",0,0,BURUK
8/1/2018,"Jambon, Sleman",0,0,BURUK
9/1/2018,"Jambon, Sleman",7,1,BURUK
10/1/2018,"Jambon, Sleman",0,0,BURUK
11/1/2018,"Jambon, Sleman",383,8,BAIK
12/1/2018,"Jambon, Sleman",229,13,BURUK
1/1/2019,"Jambon, Sleman",381,19,BAIK
2/1/2019,"Jambon, Sleman",188,15,BURUK
3/1/2019,"Jambon, Sleman",596,18,BAIK
4/1/2019,"Jambon, Sleman",320,12,BAIK
5/1/2019,"Jambon, Sleman",85,2,BURUK
6/1/2019,"Jambon, Sleman",0,0,BURUK
7/1/2019,"Jambon, Sleman",0,0,BURUK
8/1/2019,"Jambon, Sleman",2,1,BURUK
9/1/2019,"Jambon, Sleman",0,0,BURUK
10/1/2019,"Jambon, Sleman",0,0,BURUK
11/1/2019,"Jambon, Sleman",60,2,BURUK
12/1/2019,"Jambon, Sleman",493,20,BAIK
1/1/2015,"Nyemengan, Bantul",486,18,BAIK
2/1/2015,"Nyemengan, Bantul",0,0,BURUK
3/1/2015,"Nyemengan, Bantul",469,21,BAIK
4/1/2015,"Nyemengan, Bantul",293,9,BAIK
5/1/2015,"Nyemengan, Bantul",59,3,BURUK
6/1/2015,"Nyemengan, Bantul",49,1,BURUK
7/1/2015,"Nyemengan, Bantul",0,0,BURUK
8/1/2015,"Nyemengan, Bantul",0,0,BURUK
9/1/2015,"Nyemengan, Bantul",0,0,BURUK
10/1/2015,"Nyemengan, Bantul",0,0,BURUK
11/1/2015,"Nyemengan, Bantul",0,0,BURUK
12/1/2015,"Nyemengan, Bantul",187,13,BURUK
1/1/2016,"Nyemengan, Bantul",155,11,BURUK
2/1/2016,"Nyemengan, Bantul",281,13,BAIK
3/1/2016,"Nyemengan, Bantul",410,16,BAIK
4/1/2016,"Nyemengan, Bantul",152,7,BURUK
5/1/2016,"Nyemengan, Bantul",188,8,BURUK
6/1/2016,"Nyemengan, Bantul",153,5,BURUK
7/1/2016,"Nyemengan, Bantul",89,6,BURUK
8/1/2016,"Nyemengan, Bantul",114,6,BURUK
9/1/2016,"Nyemengan, Bantul",212,9,BURUK
10/1/2016,"Nyemengan, Bantul",296,14,BAIK
11/1/2016,"Nyemengan, Bantul",309,13,BAIK
12/1/2016,"Nyemengan, Bantul",249,14,BURUK
1/1/2017,"Nyemengan, Bantul",277,16,BAIK
2/1/2017,"Nyemengan, Bantul",407,15,BAIK
3/1/2017,"Nyemengan, Bantul",464,13,BAIK
4/1/2017,"Nyemengan, Bantul",216,8,BURUK
5/1/2017,"Nyemengan, Bantul",33,2,BURUK
6/1/2017,"Nyemengan, Bantul",33,1,BURUK
7/1/2017,"Nyemengan, Bantul",3,1,BURUK
8/1/2017,"Nyemengan, Bantul",0,0,BURUK
9/1/2017,"Nyemengan, Bantul",60,2,BURUK
10/1/2017,"Nyemengan, Bantul",114,6,BURUK
11/1/2017,"Nyemengan, Bantul",693,14,BAIK
12/1/2017,"Nyemengan, Bantul",316,13,BAIK
1/1/2018,"Nyemengan, Bantul",500,20,BAIK
2/1/2018,"Nyemengan, Bantul",354,16,BAIK
3/1/2018,"Nyemengan, Bantul",317,10,BAIK
4/1/2018,"Nyemengan, Bantul",82,6,BURUK
5/1/2018,"Nyemengan, Bantul",0,0,BURUK
6/1/2018,"Nyemengan, Bantul",0,0,BURUK
7/1/2018,"Nyemengan, Bantul",0,0,BURUK
8/1/2018,"Nyemengan, Bantul",0,0,BURUK
9/1/2018,"Nyemengan, Bantul",0,0,BURUK
10/1/2018,"Nyemengan, Bantul",0,0,BURUK
11/1/2018,"Nyemengan, Bantul",0,0,BURUK
12/1/2018,"Nyemengan, Bantul",220,8,BURUK
1/1/2019,"Nyemengan, Bantul",371,16,BAIK
2/1/2019,"Nyemengan, Bantul",377,11,BAIK
3/1/2019,"Nyemengan, Bantul",755,14,BAIK
4/1/2019,"Nyemengan, Bantul",162,4,BURUK
5/1/2019,"Nyemengan, Bantul",0,0,BURUK
6/1/2019,"Nyemengan, Bantul",0,0,BURUK
7/1/2019,"Nyemengan, Bantul",0,0,BURUK
8/1/2019,"Nyemengan, Bantul",0,0,BURUK
9/1/2019,"Nyemengan, Bantul",0,0,BURUK
10/1/2019,"Nyemengan, Bantul",0,0,BURUK
11/1/2019,"Nyemengan, Bantul",47,3,BURUK
12/1/2019,"Nyemengan, Bantul",229,9,BURUK
1/1/2015,"Ngestiharjo, Bantul",412,17,BAIK
2/1/2015,"Ngestiharjo, Bantul",166,8,BURUK
